actor_id,film_id
1,438
1,499
2,458
2,481
2,485
3,441
3,453
3,480
4,463
4,490
5,411
6,451
7,414
7,463
8,458
9,434
10,477
10,480
11,429
11,433
11,453
11,485
12,416
12,420
12,457
13,427
13,456
14,415
14,417
14,418
14,454
14,472
14,475
14,495
15,414
15,445
15,500
16,438
16,453
16,455
16,456
17,457
17,469
17,478
17,500
18,460
18,462
18,484
19,404
19,428
19,473
19,490
20,445
20,478
20,492
20,499
21,426
21,429
21,497
22,418
22,430
22,483
22,491
22,495
23,414
23,419
23,435
23,449
23,491
24,405
24,463
25,404
25,411
25,420
27,415
27,462
27,477
27,500
29,436
29,444
29,449
29,462
29,482
29,488
31,431
32,401
32,427
32,431
33,473
33,489
34,438
34,493
36,410
36,426
36,427
36,453
36,466
36,484
36,493
36,499
37,467
37,477
37,485
38,448
38,450
38,458
39,415
39,425
39,431
39,456
39,476
40,463
40,466
40,494
42,500
43,410
43,462
44,420
44,434
44,490
45,407
45,416
45,463
45,467
45,484
46,407
46,448
46,456
46,463
46,478
47,484
48,428
49,407
49,423
49,433
49,469
50,401
50,417
50,420
50,437
50,476
51,408
51,420
51,461
51,490
52,407
52,424
52,474
53,447
53,465
53,490
53,492
54,489
55,403
55,485
55,486
56,417
56,421
56,457
56,462
56,474
57,437
57,447
58,417
58,426
58,460
58,477
59,418
60,423
60,436
60,493
61,423
61,433
62,406
62,413
62,428
62,445
62,457
62,465
64,448
64,469
64,471
65,471
65,475
65,476
65,491
65,496
66,424
66,434
67,408
67,477
67,496
68,435
68,497
69,452
69,466
70,414
70,453
70,466
71,450
72,405
72,450
73,467
74,415
74,484
75,436
75,445
75,446
75,492
75,498
76,444
76,464
76,474
76,498
77,442
77,458
78,428
78,457
79,428
79,430
79,473
80,436
80,475
81,453
81,458
81,465
82,453
82,468
82,480
82,497
83,412
84,413
84,414
84,460
84,479
84,491
85,421
85,446
85,461
85,475
85,478
86,432
86,482
86,486
87,421
89,406
89,410
89,446
89,473
89,488
90,406
90,433
90,442
90,451
91,416
91,447
91,480
91,493
92,436
92,443
92,453
92,470
93,427
93,445
93,453
93,473
94,402
94,428
94,457
94,473
94,475
95,420
95,424
95,431
95,498
96,430
96,452
96,486
97,437
97,446
97,466
99,414
99,475
99,490
100,411
100,414
101,491
101,494
102,418
102,431
102,446
102,485
103,437
104,401
104,463
106,439
106,457
106,469
106,500
107,409
107,430
107,445
107,454
107,458
107,467
108,495
109,463
110,435
111,403
111,407
111,414
111,474
111,489
112,443
112,450
113,403
114,420
114,425
114,452
115,428
116,412
116,420
116,451
116,481
116,492
117,423
117,432
117,459
117,468
118,499
119,412
119,418
119,454
120,414
120,424
120,489
121,449
121,479
122,470
122,489
122,491
123,429
123,442
123,446
123,479
123,480
123,494
124,449
124,468
125,414
125,428
125,429
125,450
125,497
126,419
126,468
126,469
127,411
127,459
128,407
128,462
128,485
129,418
129,431
129,452
129,471
130,416
130,431
130,452
130,453
130,478
131,432
131,436
131,450
131,479
131,494
132,410
133,410
133,452
133,463
134,413
135,455
135,458
135,484
136,401
136,414
136,420
136,474
136,485
137,410
137,433
137,446
137,489
138,403
138,446
138,453
139,447
139,489
140,498
141,467
141,491
142,470
142,481
142,494
143,404
143,457
143,485
143,497
144,473
145,402
145,409
145,457
145,475
145,487
145,494
146,402
146,410
146,427
146,429
147,402
147,405
147,410
147,431
147,443
148,422
148,468
149,458
150,433
150,446
150,447
150,468
151,451
151,463
151,482
152,475
152,476
153,444
153,476
153,480
153,486
154,421
154,440
154,467
154,474
154,489
155,407
155,427
155,459
156,448
156,462
156,467
157,406
157,431
157,496
158,437
158,473
158,483
159,418
160,455
160,469
160,484
161,401
161,414
161,425
161,469
162,409
162,410
162,415
162,500
163,409
163,434
163,444
164,431
164,448
164,469
165,421
165,437
165,473
166,426
167,496
168,433
168,438
169,434
170,416
171,447
171,450
171,466
172,423
172,487
172,493
173,405
173,491
173,496
174,442
174,451
174,496
175,405
175,424
175,439
175,442
175,483
176,401
176,417
176,441
176,458
176,461
177,401
177,433
177,458
178,483
179,415
179,463
179,468
179,489
180,441
181,403
181,409
181,420
181,437
181,456
182,413
182,421
182,437
183,495
184,452
184,486
184,492
184,500
185,411
185,427
185,437
185,448
185,494
186,422
186,482
187,417
187,435
187,441
187,474
187,499
188,412
189,492
190,411
190,426
190,472
191,410
191,420
191,461
192,426
192,465
192,470
192,475
192,485
193,412
193,462
194,415
194,486
194,498
195,403
195,494
196,423
196,473
196,484
197,418
198,406
198,450
198,464
198,482
198,499
199,432
200,419
200,462
200,465
200,474
