actor_id,film_id
1,1
10,1
20,1
30,1
40,1
53,1
108,1
162,1
188,1
198,1
19,2
85,2
90,2
160,2
2,3
19,3
24,3
64,3
123,3
41,4
81,4
88,4
147,4
162,4
51,5
59,5
103,5
181,5
200,5
21,6
23,6
62,6
108,6
137,6
169,6
197,6
99,7
133,7
162,7
170,7
185,7
55,8
96,8
110,8
138,8
10,9
22,9
26,9
53,9
68,9
108,9
130,9
175,9
194,9
29,10
35,10
37,10
64,10
117,10
142,10
157,10
188,10
40,11
81,11
90,11
174,11
37,12
75,12
105,12
109,12
146,12
177,12
180,12
77,13
91,13
94,13
114,13
176,13
28,14
85,14
137,14
188,14
36,15
69,15
105,15
117,15
164,15
170,15
12,16
57,16
146,16
191,16
192,16
3,17
12,17
13,17
82,17
100,17
160,17
167,17
187,17
45,18
142,18
144,18
162,18
5,19
27,19
37,19
43,19
84,19
104,19
52,20
102,20
136,20
139,20
155,20
159,20
25,21
26,21
105,21
119,21
126,21
77,22
95,22
122,22
124,22
1,23
4,23
22,23
150,23
164,23
38,24
42,24
67,24
157,24
179,24
1,25
4,25
7,25
47,25
91,25
136,25
166,25
167,25
187,25
71,26
128,26
130,26
7,27
55,27
99,27
110,27
140,27
148,27
154,27
170,27
179,27
74,28
162,28
6,29
13,29
105,29
122,29
175,29
187,29
197,29
9,30
163,30
178,30
2,31
15,31
49,31
60,31
79,32
158,32
162,32
168,32
183,32
79,33
82,33
136,33
146,33
162,33
170,33
180,33
182,33
12,34
26,34
27,34
40,34
57,34
72,34
75,34
102,34
112,34
126,34
157,34
178,34
7,35
35,35
95,35
113,35
118,35
135,35
139,35
184,35
47,36
73,36
96,36
116,36
127,36
12,37
64,37
112,37
130,37
46,38
166,38
190,38
65,39
84,39
104,39
118,39
145,39
177,39
191,39
3,40
77,40
79,40
96,40
104,40
181,40
183,40
118,41
135,41
162,41
3,42
23,42
43,42
62,42
105,42
117,42
194,42
28,43
34,43
123,43
126,43
130,43
141,43
160,43
161,43
189,43
18,44
74,44
106,44
193,44
13,45
68,45
73,45
163,45
59,46
65,46
84,46
2,47
8,47
89,47
95,47
127,47
143,47
153,47
158,47
58,48
87,48
91,48
109,48
116,48
127,48
131,48
83,49
115,49
118,49
119,49
130,49
171,49
173,49
200,49
70,50
46,51
53,51
73,51
133,51
187,51
188,51
35,52
71,52
83,52
95,52
115,52
138,52
177,52
6,53
30,53
47,53
70,53
102,53
149,53
156,53
5,54
20,54
59,54
62,54
96,54
190,54
66,55
118,55
166,55
173,55
177,55
4,56
22,56
33,56
43,56
129,56
136,56
137,56
168,56
67,57
120,57
130,57
139,57
148,57
172,57
28,58
44,58
53,58
83,58
96,58
126,58
161,58
81,59
104,59
152,59
6,60
41,60
76,60
94,60
101,60
111,61
136,61
138,61
166,61
174,61
4,62
107,62
110,62
125,62
190,62
20,63
51,63
56,63
120,63
150,63
167,63
197,63
30,64
119,64
124,64
153,64
158,64
196,64
32,65
45,65
95,65
135,65
179,65
45,66
76,66
96,66
98,66
101,66
131,66
158,66
7,67
47,67
67,67
123,67
141,67
144,67
155,67
175,67
194,67
199,67
58,68
76,68
114,68
166,68
30,69
41,69
80,69
192,69
6,70
104,70
39,71
93,71
183,71
59,72
85,72
98,72
149,72
165,72
167,72
39,73
63,73
77,73
176,73
187,73
9,74
28,74
95,74
139,74
173,74
181,74
55,75
150,75
88,76
94,76
122,76
187,76
30,77
73,77
109,77
140,77
23,78
77,78
111,78
169,78
181,78
4,79
29,79
127,79
143,79
144,79
16,80
173,80
193,80
200,80
36,81
98,81
132,81
128,82
132,82
159,82
189,82
24,83
106,83
122,83
181,83
18,84
32,84
44,84
54,84
99,84
113,84
191,84
199,84
5,85
27,85
60,85
85,85
101,85
126,85
147,85
162,85
179,85
25,86
41,86
78,86
166,86
177,86
194,86
3,87
4,87
13,87
16,87
21,87
30,87
56,87
64,87
88,87
98,87
119,87
184,87
190,87
21,88
31,88
44,88
59,88
64,88
69,88
116,88
135,88
194,88
15,89
22,89
43,89
81,89
129,89
161,89
176,89
26,90
34,90
92,90
114,90
116,90
139,90
144,90
161,90
12,91
15,91
12,92
52,92
70,92
85,92
168,92
26,93
169,93
44,94
92,94
131,94
150,94
76,95
149,95
165,95
185,95
186,95
7,96
17,96
28,96
52,96
126,96
137,96
65,97
111,98
125,98
187,98
194,98
48,99
144,99
41,100
62,100
90,100
125,100
172,100
